Date, MaxTemperature, MinTemperature, AvgTemperature, AtObsTemperature, Precipitation, Snowfall, SnowDepth
2000-09-01, 80, 59, 69.5, 69, 0.00, 0.0, 0
2000-09-02, M, M, M, M, 0.00, 0.0, 0
2000-09-03, 86, 56, 71.0, 81, 0.00, 0.0, 0
2000-09-04, 84, M, M, M, 0.00, 0.0, 0
2000-09-05, 91, 57, 74.0, 85, 0.00, 0.0, 0
2000-09-06, 98, 58, 78.0, 89, 0.00, 0.0, 0
2000-09-07, 98, 67, 82.5, 89, 0.00, 0.0, 0
2000-09-08, 95, 61, 78.0, 86, 0.00, 0.0, 0
2000-09-09, 94, 55, 74.5, 84, 0.00, 0.0, 0
2000-09-10, 96, 55, 75.5, 91, 0.00, 0.0, 0
2000-09-11, 102, 56, 79.0, 99, 0.00, 0.0, 0
2000-09-12, 108, 63, 85.5, 98, 0.00, 0.0, 0
2000-09-13, 102, 67, 84.5, 83, 0.00, 0.0, 0
2000-09-14, 100, 66, 83.0, 95, 0.00, 0.0, 0
2000-09-15, 100, 67, 83.5, 96, 0.00, 0.0, 0
2000-09-16, 110, 67, 88.5, 104, 0.00, 0.0, 0
2000-09-17, 105, 64, 84.5, 102, 0.00, 0.0, 0
2000-09-18, 102, 67, 84.5, 89, 0.00, 0.0, 0
2000-09-19, 95, 65, 80.0, 90, 0.00, 0.0, 0
2000-09-20, 90, 63, 76.5, 80, 0.00, 0.0, 0
2000-09-21, 85, 64, 74.5, 71, 0.00, 0.0, 0
2000-09-22, M, M, M, M, 0.00, 0.0, 0
2000-09-23, 78, 61, 69.5, 72, 0.00, 0.0, 0
2000-09-24, 90, 54, 72.0, 88, 0.00, 0.0, 0
2000-09-25, 96, 56, 76.0, 89, 0.00, 0.0, 0
2000-09-26, 91, 59, 75.0, 75, 0.00, 0.0, 0
2000-09-27, 77, 63, 70.0, 75, 0.00, 0.0, 0
2000-09-28, 82, 63, 72.5, 72, 0.00, 0.0, 0
2000-09-29, M, M, M, M, 0.00, 0.0, 0
2000-09-30, 82, 59, 70.5, 79, 0.00, 0.0, 0
2000-10-01, 88, 58, 73.0, 86, 0.00, 0.0, 0
2000-10-02, 89, 60, 74.5, 83, 0.00, 0.0, 0
2000-10-03, 82, 61, 71.5, 74, 0.00, 0.0, 0
2000-10-04, 74, 62, 68.0, 69, 0.05, 0.0, 0
2000-10-05, 83, 60, 71.5, 77, 0.00, 0.0, 0
2000-10-06, 76, 63, 69.5, 68, 0.00, 0.0, 0
2000-10-07, 73, 64, 68.5, 68, 0.00, 0.0, 0
2000-10-08, 76, 58, 67.0, 72, 0.00, 0.0, 0
2000-10-09, 76, 57, 66.5, 70, 0.00, 0.0, 0
2000-10-10, 71, 58, 64.5, 64, 0.09, 0.0, 0
